Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
35.158501290000,-89.79452137000000,dr,3619643,1704011702ME,12XX Germantown Pkwy,Drugs/Narcotics Violation/Felony,826,Appling Farms,04/23/2017   1:51PM,1
35.158501290000,-89.79452137000000,sh,3616448,1704008689ME,12XX Germantown Pkwy,Shoplifting/Misdemeanor,826,Appling Farms,04/18/2017   4:50AM,
35.158662847546,-89.79600873100000,sh,3609235,1704002269ME,12XX Germantown Pkwy,Shoplifting/Misdemeanor,825,Appling Farms,04/05/2017   5:00PM,
35.158865400000,-89.79976230000000,sa,3591759,1703002904ME,78XX Autumn Hollow Dr,Simple Assault,825,Appling Farms,03/06/2017   4:38PM,
35.159082100000,-89.80134290000001,ro,3637969,1705012374ME,78XX Autumn Hollow,Robbery/Individual,825,Appling Farms,05/24/2017   2:41AM,
35.159195500000,-89.80093430000000,ot,3636236,1705010883ME,78XX Windrush Circle,Theft From Building,825,Appling Farms,05/21/2017  12:51PM,
35.159255000000,-89.79003000000000,sa,3630542,1705005488ME,12XX Sandy Stone,Simple Assault/Dv,826,Appling Farms,05/11/2017   9:32AM,
35.159560888193,-89.79538145150000,sh,3610107,1704003086ME,12XX N Germantown,Shoplifting/Misdemeanor,825,Appling Farms,04/07/2017   6:00AM,
35.159560888193,-89.79538145150000,sh,3591713,1703002914ME,12XX N Germantown Pkwy,Shoplifting/Misdemeanor,825,Appling Farms,03/06/2017   5:09PM,
35.159560910000,-89.79538157000000,th,3639217,1705013558ME,12XX N Germantown Pkwy,Theft From Motor Vehicle,825,Appling Farms,05/25/2017   9:32PM,
35.159560910000,-89.79538157000000,ot,3621103,1704012942ME,12XX N Germantown Pkwy,Credit Card/Atm Fraud,825,Appling Farms,04/25/2017   2:41PM,
35.159635000000,-89.79733199999998,sa,3612593,1704004963ME,12XX Germantown Pkwy,Simple Assault,825,Appling Farms,04/11/2017   1:38AM,
35.159734000000,-89.79742099999999,ot,3635513,1705010242ME,12XX N Germantown,Theft Of Vehicle Parts/Accessories + Vandalism/Misdemeanor,825,Appling Farms,05/19/2017   8:35PM,
35.159734000000,-89.79742099999999,aa,3624331,1705000014ME,12XX North Germantown Pkwy,Aggravated Assault,825,Appling Farms,05/01/2017   2:54AM,
35.159745382850,-89.79767019650000,th,3639881,1705014087ME,12XX Germantown,Theft From Motor Vehicle,825,Appling Farms,05/26/2017   7:30PM,
35.159745382850,-89.79767019650000,ot,3589979,1703001059ME,12XX Germantown Pkwy,Embezzlement,825,Appling Farms,03/02/2017   4:40PM,1
35.159892839471,-89.79535284070000,sa,3629321,1705004471ME,12XX N Germantown Pkwy,Simple Assault,825,Appling Farms,05/09/2017   4:55PM,
35.159981000000,-89.78670600000000,sa,3612225,1704004871ME,82XX Floral Spring Dr,Simple Assault/Dv,826,Appling Farms,04/10/2017   9:20PM,1
35.160070058267,-89.79533261230000,th,3612714,1704005401ME,12XX N Germantown Pkwy,Theft From Motor Vehicle,825,Appling Farms,04/11/2017   6:01PM,
35.160070058267,-89.79533261230000,ot,3598952,1703009471ME,12XX N Germantown Pkwy,Theft Of Vehicle Parts/Accessories,825,Appling Farms,03/19/2017   8:40PM,
35.160070080000,-89.79533273000000,aa,3612741,1704005486ME,12XX Germantown Pkwy,Aggravated Assault,825,Appling Farms,04/11/2017   7:52PM,
35.160070080000,-89.79533273000000,sa,3598023,1703008466ME,12XX Germantown Pkwy,Simple Assault,825,Appling Farms,03/17/2017   3:09PM,
35.160424490000,-89.79949360000000,sa,3623315,1704015090ME,79XX Club,Simple Assault/Dv + Vandalism/Misdemeanor,825,Appling Farms,04/29/2017  12:03AM,
35.161060837217,-89.80159587310000,bu,3606729,1704000002ME,78XX Club Dr,Burglary/Residential,825,Appling Farms,04/01/2017  12:59AM,
35.161228080943,-89.79516995920000,ro,3620357,1704012421ME,13XX N Germantown Pkwy,Robbery/Individual,825,Appling Farms,04/24/2017   7:21PM,
35.161304395579,-89.79515738530000,ro,3623787,1704015503ME,13XX N Germantown Pkwy,Robbery/Business,825,Appling Farms,04/29/2017  10:48PM,
35.161367000000,-89.79539599999998,th,3624330,1705000060ME,13XX N Germantown Pkwy,Mvt/Passenger Vehicle,825,Appling Farms,05/01/2017   7:08AM,
35.161549092225,-89.79990817620000,th,3624255,1705000055ME,13XX Volleyball Ln,Theft From Motor Vehicle,825,Appling Farms,05/01/2017   6:04AM,
35.161683400000,-89.80047479999996,sa,3610758,1704003675ME,13XX Volleyball Ln,Simple Assault/Dv,825,Appling Farms,04/08/2017   5:42AM,1
35.161784000000,-89.80428999999998,bu,3596860,1703007456ME,13XX Fox Trace Dr,Burglary/Residential,825,Appling Farms,03/15/2017   4:29PM,
35.161837800000,-89.79892120000000,th,3610223,1704003177ME,79XX Club,Theft From Motor Vehicle,825,Appling Farms,04/07/2017   9:45AM,
35.161951400000,-89.80942299999998,bu,3612591,1704004913ME,81XX Emerald Creek,Burglary/Residential,825,Appling Farms,04/10/2017  10:49PM,
35.162076100000,-89.79488890000000,ot,3632397,1705007363ME,13XX North Germantown Pkwy,Intimidation,825,Appling Farms,05/15/2017  10:57AM,
35.162297250000,-89.79494959000000,ot,3621528,1704013444ME,13XX N Germantown Pkwy,Credit Card/Atm Fraud,825,Appling Farms,04/26/2017  10:15AM,
35.162522700000,-89.80015290000000,th,3636120,1705010745ME,78XX Racquetball Ln,Mvt/Passenger Vehicle,825,Appling Farms,05/21/2017   2:10AM,
35.162604000000,-89.78637100000000,bu,3630988,1705005466ME,82XX Crimson Creek,Burglary/Residential,826,Appling Farms,05/11/2017   8:51AM,
35.162734052861,-89.79507950460000,ot,3626316,1705001847ME,13XX Germantown Pkwy,Intimidation,825,Appling Farms,05/04/2017   7:47AM,
35.162997674250,-89.79595239170000,ot,3632696,1705007504ME,80XX Club Pkwy,Other Theft/Non-Specific,825,Appling Farms,05/15/2017   3:16PM,
35.164099000000,-89.81160000000000,th,3604053,1703000977SH,75XX Par View Cv,Theft From Motor Vehicle,,,03/28/2017   9:22AM,
35.164211000000,-89.79137100000003,ot,3602580,1703012731ME,14XX Sandy Stone Rd,Other Theft/Non-Specific,826,Appling Farms,03/25/2017   2:42PM,
35.164315600000,-89.79535090000002,ot,3602932,1703000900SH,14XX North Germantown Pkwy,Identity Theft + Impersonation,825,Appling Farms,03/26/2017  10:51AM,
35.164722364071,-89.79380981810000,sh,3594211,1703004005ME,14XX N Germantown Pkwy,Shoplifting/Misdemeanor,826,Appling Farms,03/10/2017   2:52PM,1
35.164758520000,-89.78850713000000,ot,3615995,1704008427ME,14XX Tree Haven,Intimidation/Dv,826,Appling Farms,04/17/2017   4:15PM,
35.164955000000,-89.78663000000000,bu,3622375,1704014206ME,82XX Shallow Glen Trail,Burglary/Residential,826,Appling Farms,04/27/2017   2:52PM,
35.164967000000,-89.78511600000002,bu,3634899,1705009582ME,14XX Beaver Trail,Burglary/Residential,826,Appling Farms,05/18/2017   5:24PM,
35.165294500000,-89.79553659999999,ot,3624684,1705000448ME,14XX Dexter Lake Dr,Theft From Building + Simple Assault/Dv,825,Appling Farms,05/01/2017   8:30PM,
35.165842060000,-89.80835726000000,ot,3637705,1705012211ME,76XX Dexter Park Dr,False Pretenses/Swindle/Confidence Game,825,Appling Farms,05/23/2017   6:42PM,
35.166022650000,-89.80556810000000,ot,3635926,1705010532ME,77XX Killdeer,Intimidation,825,Appling Farms,05/20/2017   3:46PM,
35.166209000000,-89.78506400000003,th,3616844,1704009062ME,15XX Beaver Trail,Theft From Motor Vehicle,826,Appling Farms,04/18/2017   5:23PM,
35.167084000000,-89.82065600000000,sa,3605883,1703001120SH,15XX Bridgewater Rd,Simple Assault,,,03/30/2017   4:35PM,
35.167084000000,-89.82065599999999,sa,3598411,1703000619SH,15XX Bridge Water,Simple Assault,825,Appling Farms,03/18/2017   2:24PM,
35.167105000000,-89.78520100000003,ot,3638430,1705012765ME,15XX Beaver Trail Rd,False Pretenses/Swindle/Confidence Game,826,Appling Farms,05/24/2017   5:26PM,
35.167228723452,-89.81901373060000,ot,3598539,1703000628SH,15XX Bridgewater,Intimidation,0,0,03/18/2017   6:42PM,
