Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
35.105762000000,-89.90212280000000,ot,3757570,1712004041ME,9XX Rustling Oaks Circle,Doa/Natural,323,Mt. Moriah,12/08/2017   5:56PM,
35.105831300000,-89.89748590000000,ot,3766980,1712012264ME,Park Ave & Mendenhall Rd,Stalking/Dv,323,Mt. Moriah,12/26/2017   6:35PM,
35.106270000000,-89.89578699999998,bu,3772422,1801002873ME,49XX Park Ave,Burglary/Business,323,Mt. Moriah,01/07/2018   4:45AM,
35.106443930000,-89.89184809000000,ot,3803281,1803001199ME,Wilbec Rd & Park Ave,Other Larceny/Access Device,323,Mt. Moriah,03/03/2018  10:34AM,
35.106534180000,-89.90823755000000,bu,3765123,1712010805ME,46XX Park Ave,Burglary/Residential,323,Mt. Moriah,12/22/2017  11:23AM,
35.106738272473,-89.91015584830000,ot,3764528,1712010294ME,45XX Park Ave,Custodial Interference,323,Mt. Moriah,12/21/2017  10:12AM,
35.106881650000,-89.89605691000000,bu,3795636,1802008650ME,49XX Park Ave,Burglary/Business,821,Appling Farms,02/17/2018   5:34AM,
35.107075660000,-89.90397990000000,bu,3785444,1801014574ME,47XX Towering Oaks Dr,Burglary/Residential,821,Appling Farms,01/31/2018  11:24PM,
35.107256150000,-89.90420851000000,bu,3791050,1802004770ME,8XX Creekside Dr,Burglary/Residential,821,Appling Farms,02/09/2018   5:13PM,
35.107295910037,-89.89104154630000,sa,3803574,1803001262ME,51XX Park Ave,Simple Assault,821,Appling Farms,03/03/2018   2:50PM,
35.107295910037,-89.89104154630000,ot,3791374,1802005166ME,51XX Park Ave,Other Theft/Non-Specific,821,Appling Farms,02/10/2018   2:53PM,
35.107436640000,-89.88419223000000,ot,3802585,1802013025ME,Estate Dr & Poplar Ave,Intimidation,821,Appling Farms,02/26/2018   2:29PM,
35.107436640000,-89.88419223000000,ot,3797808,1802010868ME,Estate Dr & Poplar Ave,Driving Under the Influence,821,Appling Farms,02/21/2018   9:00PM,1
35.107526890000,-89.90245698000000,bu,3782895,1801012258ME,8XX Thistle Down Dr,Burglary/Residential,821,Appling Farms,01/27/2018  12:47PM,
35.107688651434,-89.88600502350000,ot,3775384,1801005566ME,52XX Poplar Ave,Intimidation,821,Appling Farms,01/12/2018   6:01PM,
35.108068380000,-89.88690576000000,ot,3794996,1802008382ME,52XX Poplar Ave,Embezzlement,821,Appling Farms,02/16/2018   2:16PM,1
35.108131800000,-89.88642534000000,sa,3804104,1803001820ME,52XX Poplar Ave,Simple Assault,526,Tillman,03/05/2018   1:21AM,1
35.108289000000,-89.89027699999997,ot,3777240,1801007151ME,8XX S White Station,Identity Theft + Impersonation,821,Appling Farms,01/17/2018   3:09PM,
35.108551900000,-89.89020199999999,sa,3790350,1802004111ME,8XX S White Station,Simple Assault/Dv,821,Appling Farms,02/08/2018   5:17PM,1
35.108606000000,-89.90065299999998,ot,3782725,1801012141ME,8XX St Nick Rd,Doa/Natural,821,Appling Farms,01/27/2018   2:31AM,
35.108702773374,-89.90190341490000,ot,3790961,1802004830ME,8XX Colonial Rd,Intimidation,821,Appling Farms,02/09/2018   6:57PM,
35.108804619592,-89.88710956520000,ot,3802454,1803000426ME,52XX Poplar Ave,Intimidation,821,Appling Farms,03/01/2018   6:29PM,
35.108916448514,-89.89252189870000,ot,3771251,1801001785ME,8XX Truse Pkwy,Counterfeiting/Forgery,821,Appling Farms,01/04/2018   5:10PM,
35.108970860000,-89.90188287000000,bu,3766881,1712012273ME,8XX Colonial Rd,Burglary/Residential,821,Appling Farms,12/26/2017   6:58PM,
35.108972000000,-89.88712699999996,ot,3763720,1712009583ME,52XX Poplar Ave,False Pretenses/Swindle/Confidence Game,821,Appling Farms,12/19/2017   6:59PM,
35.109175976086,-89.88861625680000,ro,3792446,1802006016ME,52XX Poplar Ave,Robbery/Individual,821,Appling Farms,02/12/2018   3:17PM,
35.109454000000,-89.90348640000000,th,3802160,1803000146ME,7XX Forrest Lake Dr,Mvt/Passenger Vehicle + Theft of Vehicle Parts/Accessories,821,Appling Farms,03/01/2018  10:19AM,
35.109573300000,-89.89549550000000,ro,3778030,1801007931ME,7XX Mount Mariah Rd,Robbery/Individual,821,Appling Farms,01/19/2018   6:13AM,
35.109602600000,-89.90372493000000,ot,3784038,1801013262ME,47XX Oakbrook Ct,Intimidation,821,Appling Farms,01/29/2018   7:13PM,
35.109856793493,-89.88882000780000,sa,3799421,1802012280ME,51XX Poplar Ave,Simple Assault,821,Appling Farms,02/24/2018   4:23PM,
35.109856793493,-89.88882000780000,ot,3792562,1802006160ME,51XX Poplar,Credit Card/Atm Fraud,821,Appling Farms,02/12/2018   8:37PM,
35.109963600000,-89.90378681000000,th,3802570,1803000086ME,47XX Oakbrook Ct,Mvt/Passenger Vehicle,821,Appling Farms,03/01/2018   6:45AM,
35.110213000000,-89.89416299999999,ot,3768004,1712013369ME,7XX Truce Pkwy,Accidental Injury,821,Appling Farms,12/29/2017   9:59AM,
35.110421000000,-89.88999799999999,bu,3783550,1801012840ME,51XX Poplar Ave,Burglary/Business,821,Appling Farms,01/29/2018   1:33AM,
35.111046590000,-89.89543595000000,ot,3761460,1712007542ME,7XX S Mendenhall Rd,Intimidation,821,Appling Farms,12/15/2017   6:24PM,
35.111097000000,-89.88867099999999,ot,3787111,1802001472ME,7XX N White Station,Intimidation,821,Appling Farms,02/03/2018   8:01PM,
35.111301949226,-89.89381518370000,bu,3762114,1712008128ME,7XX Truse Pkwy,Burglary/Business,821,Appling Farms,12/17/2017   4:27AM,
35.111317340000,-89.87735684000000,bu,3795076,1802008483ME,7XX S Yates Rd,Burglary/Residential,821,Appling Farms,02/16/2018   6:46PM,
35.111407590000,-89.90175339000000,bu,3765155,1712010817ME,48XX Spottswood Ave,Burglary/Residential,821,Appling Farms,12/22/2017  12:04PM,
35.111565700000,-89.89032550000000,ot,3788676,1802002708ME,6XX W Brookhaven Circle,Counterfeiting/Forgery,821,Appling Farms,02/06/2018   1:27PM,
35.111588100000,-89.89029137000000,ot,3804942,1803002577ME,6XX Brookhaven Cir W,Obscene/Harassing Phone Calls,821,Appling Farms,03/06/2018   1:44PM,
35.111654780000,-89.90520066000000,sa,3769578,1801000326ME,46XX Spotswood Ave,Simple Assault,821,Appling Farms,01/02/2018   1:38AM,
35.111694000000,-89.89211100000000,ot,3794860,1802008310ME,51XX Poplar Ave,Credit Card/Atm Fraud,821,Appling Farms,02/16/2018  11:36AM,
35.111694000000,-89.89211100000000,ot,3793748,1802007186ME,51XX Poplar Ave,Exhibitionist,821,Appling Farms,02/14/2018   2:56PM,1
35.111694000000,-89.89211100000000,th,3782369,1801011804ME,51XX Poplar Ave,Mvt/Passenger Vehicle,821,Appling Farms,01/26/2018   1:48PM,1
35.112039350000,-89.89155875000000,sa,3784420,1801013553ME,51XX Poplar Rd,Simple Assault,821,Appling Farms,01/30/2018  10:44AM,
35.112049300000,-89.92650950000000,ot,3798477,1802011435ME,7XX S Goodlett St,Animal Injury,522,Tillman,02/22/2018   8:53PM,
35.112219850000,-89.89583301000000,ot,3787562,1802001825ME,6XX S Mendenhall Rd,Obscene/Harassing Phone Calls,821,Appling Farms,02/04/2018   8:25PM,
35.112264314992,-89.90506093460000,ot,3761480,1712007488ME,46XX Spottswood Ave,Counterfeiting/Forgery,821,Appling Farms,12/15/2017   3:43PM,
35.112836500000,-89.89192490000000,ot,3784018,1801013163ME,51XX Poplar Ave,Other Larceny/Access Device,821,Appling Farms,01/29/2018   4:38PM,
35.112851610000,-89.92942610000000,ro,3804590,1803002288ME,39XX Spottswood Ave,Robbery/Individual,522,Tillman,03/05/2018  11:58PM,
35.113060000000,-89.90316899999999,aa,3783800,1801012915ME,6XX Colonial Rd,Aggravated Assault + Shoplifting/Misdemeanor,821,Appling Farms,01/29/2018   8:35AM,1
35.113122370000,-89.89614528000000,sa,3778921,1801008764ME,Mendenhall Rd & Poplar Ave,Simple Assault,821,Appling Farms,01/21/2018   3:48AM,
35.113302870000,-89.90537849000000,ot,3772947,1801003244ME,47XX Spottswood Dr,False Pretenses/Swindle/Confidence Game + Identity Theft,821,Appling Farms,01/08/2018   9:16AM,
35.113421102235,-89.89400482400000,th,3788891,1802002804ME,50XX Poplar Ave,Mvt/Passenger Vehicle,821,Appling Farms,02/06/2018   3:46PM,
35.113421102235,-89.89400482400000,ot,3761473,1712007457ME,50XX Poplar Ave,Other Theft/Non-Specific,821,Appling Farms,12/15/2017   3:05PM,
35.113440148167,-89.90265868460000,sa,3779235,1801008973ME,6XX Colonial Rd,Simple Assault,821,Appling Farms,01/21/2018   5:34PM,
35.113440148167,-89.90265868460000,ot,3778762,1801008586ME,6XX Colonial Rd,Intimidation,821,Appling Farms,01/20/2018   4:56PM,
35.113485000000,-89.90636300000000,ot,3766884,1712012202ME,6XX Oakleaf Ln,Embezzlement,821,Appling Farms,12/26/2017   4:13PM,
35.113507500000,-89.90303130000001,dr,3781513,1801010826ME,6XX Colonial St,Drugs/Narcotics Violation/Misdemeanor,821,Appling Farms,01/24/2018   7:18PM,1
35.113507500000,-89.90303130000001,ro,3758423,1712004777ME,6XX Colonial St,Robbery/Individual,821,Appling Farms,12/10/2017   4:34PM,
35.113876000000,-89.89638700000000,ot,3787790,1802001691ME,6XX S Mendenhall Rd,Exhibitionist,821,Appling Farms,02/04/2018   1:38PM,
35.113894610000,-89.90202972000000,ot,3804934,1803002434ME,6XX Colonial Rd,Embezzlement,821,Appling Farms,03/06/2018   9:19AM,
35.114250000000,-89.93161199999997,th,3804740,1803002406ME,6XX Shotwell St,Mvt/Passenger Vehicle,522,Tillman,03/06/2018   8:19AM,
35.114295650000,-89.88954194000000,ot,3760797,1712006914ME,51XX Wheelis Rd,Embezzlement,821,Appling Farms,12/14/2017   2:20PM,
35.114305027986,-89.88959063850000,ot,3778572,1801008462ME,51XX Wheelis Dr,Animal Injury,821,Appling Farms,01/20/2018   9:30AM,
35.114524800000,-89.89961119999998,ot,3762110,1712008091ME,48XX Poplar Ave,Other Theft/Non-Specific,821,Appling Farms,12/17/2017   2:09AM,
35.114837170000,-89.90378681000000,ot,3793533,1802007024ME,47XX Poplar Ave,Intimidation,821,Appling Farms,02/14/2018  10:32AM,
35.114860494683,-89.90437059080000,ot,3789556,1802003473ME,47XX Poplar Ave,Peeping Tom,821,Appling Farms,02/07/2018   5:27PM,
35.114928900000,-89.89546600000000,ot,3775047,1801004754ME,5XX S Mendenhall Rd,Driving Under the Influence,821,Appling Farms,01/10/2018   7:49PM,1
35.114982000000,-89.90178600000002,ot,3772273,1801002760ME,48XX Poplar Ave,Intimidation,821,Appling Farms,01/06/2018   7:36PM,
35.115017670000,-89.90472646000000,ot,3763731,1712009461ME,47XX Poplar Ave,Counterfeiting/Forgery,821,Appling Farms,12/19/2017   3:13PM,
35.115018570000,-89.89582799000000,ot,3793851,1802007379ME,5XX S Mendenhall Rd,Counterfeiting/Forgery,821,Appling Farms,02/14/2018   8:44PM,1
35.115018570000,-89.89582799000000,ot,3792005,1802005686ME,5XX S Mendenhall Rd,Counterfeiting/Forgery,821,Appling Farms,02/11/2018  10:41PM,1
35.115018570000,-89.89582799000000,ot,3792057,1802005675ME,5XX S Mendenhall Rd,Counterfeiting/Forgery,821,Appling Farms,02/11/2018   9:43PM,
35.115018570000,-89.89582799000000,th,3791216,1802004971ME,5XX S Mendenhall Rd,Mvt/Passenger Vehicle,821,Appling Farms,02/10/2018  12:44AM,
35.115088000000,-89.89417200000003,th,3763158,1712009060ME,5XX S Mendenhall Rd,Mvt/Passenger Vehicle,821,Appling Farms,12/18/2017  11:11PM,
35.115213400000,-89.89859900000000,ot,3761482,1712007495ME,5XX Erin Dr,Counterfeiting/Forgery,821,Appling Farms,12/15/2017   4:33PM,
35.115639760000,-89.90954989000000,ot,3790121,1802003910ME,5XX N Perkins Rd,Other Theft/Non-Specific,525,Tillman,02/08/2018  11:58AM,
35.115738000000,-89.86667990000000,ot,3803502,1803001329ME,5XX Haymarket Cv,Doa/Natural,823,Appling Farms,03/03/2018   5:14PM,
35.115770000000,-89.90986000000000,ot,3798468,1802011369ME,5XX Perkins Rd Ext,Driving Under the Influence,522,Tillman,02/22/2018   6:44PM,1
35.115839020000,-89.90589188000000,bu,3804094,1803001834ME,46XX Poplar Ave,Burglary/Business,821,Appling Farms,03/05/2018   3:18AM,
35.115839020000,-89.90589188000000,ot,3794997,1802007931ME,46XX Poplar Ave,Intimidation,821,Appling Farms,02/15/2018   6:38PM,
35.115848905591,-89.90583192090000,bu,3787320,1802001573ME,46XX Poplar Ave,Burglary/Business,821,Appling Farms,02/04/2018   3:03AM,
35.115898661045,-89.90672316410000,sa,3789884,1802000211SH,5XX S Perkins Rd,Simple Assault,821,Appling Farms,02/06/2018  10:30AM,
35.115898661045,-89.90672316410000,sa,3787997,1802000164SH,5XX S Perkins Rd,Simple Assault,821,Appling Farms,02/05/2018  11:09AM,1
35.115898661045,-89.90672316410000,dr,3789894,1802000037SH,5XX S Perkins Rd,Drugs/Narcotics Violation/Misdemeanor,821,Appling Farms,02/02/2018   8:30AM,1
35.115898661045,-89.90672316410000,aa,3783643,1801000921SH,5XX S Perkins Rd,Aggravated Assault,821,Appling Farms,01/26/2018   9:06PM,
35.116103300000,-89.87938240000000,ot,3785610,1801014149ME,5XX Kinsman Rd,Embezzlement,821,Appling Farms,01/31/2018  10:11AM,
35.116203000000,-89.89019600000000,we,3765955,1712011413ME,51XX Sanderlin Ave,Weapon Law Violations/Misdemeanor + Drugs/Narcotics Violation/Misdemeanor,821,Appling Farms,12/23/2017  11:39PM,1
35.116269000000,-89.89301300000000,th,3773723,1801004061ME,50XX Sanderlin Ave,Mvt/Passenger Vehicle,821,Appling Farms,01/09/2018   2:16PM,
35.116371480000,-89.89921977000000,ot,3775876,1801005979ME,5XX Erin Dr,Credit Card/Atm Fraud,821,Appling Farms,01/14/2018  12:37PM,
35.116438000000,-89.91469500000000,bu,3799822,1802012590ME,5XX Oak Ct,Burglary/Business,522,Tillman,02/25/2018   3:02PM,
35.116438000000,-89.91469500000000,sa,3762436,1712008389ME,5XX Oak Ct Dr,Simple Assault + Shoplifting/Misdemeanor,522,Tillman,12/17/2017   8:09PM,1
35.116456000000,-89.89453100000003,ot,3781916,1801011261ME,5XX S Mendenhall Rd,False Pretenses/Swindle/Confidence Game,821,Appling Farms,01/25/2018   4:11PM,
35.116456000000,-89.89453100000003,ot,3776270,1801006355ME,5XX S Mendenhall Rd,Credit Card/Atm Fraud,821,Appling Farms,01/15/2018   2:24PM,
35.116461740000,-89.92474160000000,bu,3775980,1801005931ME,41XX Village Rd,Burglary/Residential + Theft From Motor Vehicle,522,Tillman,01/14/2018   9:55AM,
35.116551990000,-89.89567373000000,bu,3805137,1803002628ME,5XX Mendenhall Rd,Burglary/Residential,821,Appling Farms,03/06/2018   2:52PM,
35.116551990000,-89.89309313000000,ot,3788597,1802002637ME,50XX Sanderlin Rd,Embezzlement,821,Appling Farms,02/06/2018  11:19AM,
35.116604000000,-89.91114390000001,ot,3769471,1801000271ME,45XX Poplar Ave,Embezzlement,522,Tillman,01/01/2018   7:58PM,1
35.116604000000,-89.91114390000001,ot,3761988,1712008039ME,45XX Poplar Ave,Embezzlement,522,Tillman,12/16/2017  10:21PM,1
35.116604000000,-89.91114390000001,ot,3760321,1712006515ME,45XX Poplar Ave,Embezzlement,522,Tillman,12/13/2017   7:02PM,1
35.116604000000,-89.91114390000001,ot,3759711,1712005965ME,45XX Poplar Ave,Embezzlement,522,Tillman,12/12/2017   8:36PM,
35.116913010000,-89.92653267000000,ot,3768407,1712013721ME,5XX S Goodlett St,Carjacking,522,Tillman,12/29/2017  11:24PM,
35.116958784094,-89.90963573440000,th,3778656,1801008538ME,45XX Poplar Ave,Mvt/Passenger Vehicle,522,Tillman,01/20/2018   2:08PM,
35.117061500000,-89.89183760000003,ot,3803905,1803001729ME,51XX Sanderlin Dr,Other Theft/Non-Specific,821,Appling Farms,03/04/2018   7:11PM,
35.117061500000,-89.89183760000003,sa,3804699,1803001109ME,51XX Sanderlin Rd,Simple Assault,821,Appling Farms,03/03/2018   1:06AM,
35.117061500000,-89.89183760000003,th,3787234,1802001543ME,51XX Sanderlin Rd,Mvt/Passenger Vehicle,821,Appling Farms,02/04/2018  12:09AM,
35.117236100000,-89.91334930000000,ot,3803513,1803001310ME,44XX Poplar Ave,False Pretenses/Swindle/Confidence Game,522,Tillman,03/03/2018   4:23PM,
35.117236100000,-89.91334930000000,bu,3799621,1802012462ME,44XX Poplar Ave,Burglary/Business,522,Tillman,02/25/2018   3:13AM,1
35.117236100000,-89.91334930000000,bu,3793719,1802007344ME,44XX Poplar Ave,Burglary/Business,522,Tillman,02/14/2018   7:34PM,
35.117236100000,-89.91334930000000,ot,3788034,1802002171ME,44XX Poplar St,Embezzlement,522,Tillman,02/05/2018   3:09PM,
