Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
35.082705964829,-89.96116356780000,va,3731876,1710012144ME,18XX Wildrose St,Vandalism/Misdemeanor,725,Airways,10/23/2017   6:35PM,
35.082989000000,-89.96476700000000,ot,3720435,1710002412ME,29XX Armistead,Doa/Natural,725,Airways,10/05/2017   9:03AM,
35.083012095310,-89.95576327480000,th,3711735,1709011683ME,17XX Prescott,Theft From Motor Vehicle,726,Airways,09/21/2017   7:19PM,
35.083012095310,-89.95576327480000,va,3705924,1709006345ME,17XX Prescott,Vandalism/Misdemeanor,726,Airways,09/13/2017   3:10AM,
35.083202500000,-89.96473530000000,ot,3748876,1711011671ME,29XX Armistead Ave,Doa/Natural,725,Airways,11/23/2017   4:51AM,
35.083257000000,-89.95542000000000,va,3742706,1711006191ME,17XX S Prescott St,Vandalism/Misdemeanor,726,Airways,11/12/2017  12:31PM,
35.083293105340,-89.95690432750000,bu,3723200,1710004448ME,31XX Lamar,Burglary/Business,726,Airways,10/09/2017  10:36AM,
35.083293105340,-89.95690432750000,va,3721585,1710003617ME,31XX Lamar,Vandalism/Misdemeanor,726,Airways,10/07/2017  12:38PM,
35.083347838989,-89.95004329800000,ot,3717858,1710000267ME,33XX Steve,Other Theft/Non-Specific,322,Mt. Moriah,10/01/2017   6:05PM,
35.083433490000,-89.95450103000000,ot,3729917,1710011098ME,17XX Prescott St,Intimidation/Dv,726,Airways,10/21/2017  11:53AM,
35.083438000000,-89.96854400000001,ot,3709869,1709009925ME,28XX Byrd,Intimidation/Dv,725,Airways,09/19/2017   9:09AM,
35.083523720000,-89.95369774000000,ot,3728820,1710010184ME,17XX S Prescott Rd,Intimidation + Theft From Building,726,Airways,10/19/2017   3:56PM,
35.083551000000,-89.95905499999998,ot,3746744,1711009786ME,31XX Lamar Ave,Other Theft/Non-Specific,726,Airways,11/19/2017   7:59AM,
35.083704170000,-89.96907994000000,ot,3710581,1709010253ME,28XX Byrd Ave,Threatening Phone Call,725,Airways,09/19/2017   5:49PM,
35.083922000000,-89.94856400000000,ot,3727566,1710009038ME,17XX Morlye Place,Other Theft/Non-Specific,322,Mt. Moriah,10/17/2017   4:30PM,
35.083951715325,-89.96297432860000,va,3717666,1709016764ME,17XX Wildrose,Vandalism/Misdemeanor,725,Airways,09/30/2017   8:39PM,
35.083978000000,-89.95249300000000,va,3742219,1711005741ME,17XX Prescott Rd,Vandalism/Felony,322,Mt. Moriah,11/11/2017   8:27AM,
35.084155310000,-89.97144167000000,va,3754563,1712001301ME,22XX Pendleton St,Vandalism/Misdemeanor,725,Airways,12/04/2017   1:51AM,
35.084155310000,-89.97144167000000,aa,3742411,1711005897ME,22XX Pendleton St,Aggravated Assault/Dv,725,Airways,11/11/2017   5:46PM,1
35.084155310000,-89.97144167000000,ot,3732844,1710013717ME,22XX Pendleton St,Theft of Vehicle Parts/Accessories,725,Airways,10/26/2017   1:01PM,
35.084155310000,-89.96252301000000,ot,3732835,1710013664ME,17XX Wildrose St,Other Theft/Non-Specific,725,Airways,10/26/2017  12:22PM,
35.084426000000,-89.96644662000000,va,3750225,1711012823ME,17XX Southwall St,Vandalism/Misdemeanor,725,Airways,11/26/2017   1:25PM,
35.084516230000,-89.95399224000000,th,3751538,1711013933ME,17XX Cherokee Blvd,Theft From Motor Vehicle,726,Airways,11/28/2017   3:53PM,
35.084594000000,-89.94910500000003,ot,3754128,1712000589ME,17XX Morlye Rd,Intimidation/Dv,322,Mt. Moriah,12/02/2017   6:34AM,
35.084606460000,-89.96170998000000,th,3754188,1712001009ME,17XX Retreat Ln,Theft From Motor Vehicle,725,Airways,12/03/2017   9:25AM,
35.084619727259,-89.95032653790000,bu,3709729,1709009798ME,33XX Steve Rd,Burglary/Residential,322,Mt. Moriah,09/19/2017   4:08AM,
35.084807710000,-89.97383082000000,aa,3743630,1711006927ME,26XX Dwight Rd,Aggravated Assault,725,Airways,11/13/2017   9:36PM,
35.084831651161,-89.94891199940000,aa,3706727,1709006562ME,17XX Morlye,Aggravated Assault/Dv,322,Mt. Moriah,09/13/2017  11:34AM,
35.084877140000,-89.97695524000000,ot,3751807,1711013772ME,22XX Long St,Intimidation/Dv,725,Airways,11/28/2017  11:34AM,
35.084877140000,-89.94897485000000,dr,3712349,1709012224ME,17XX Morlye,Drugs/Narcotics Violation/Felony,322,Mt. Moriah,09/22/2017   4:18PM,
35.084967370000,-89.96904499000000,dr,3753811,1712000694ME,28XX Brewer St,Drugs/Narcotics Violation/Misdemeanor,725,Airways,12/02/2017   1:27PM,1
35.085147830000,-89.94842538000000,aa,3748924,1711011722ME,34XX Steve Rd,Aggravated Assault,322,Mt. Moriah,11/23/2017  11:05AM,
35.085182000000,-89.94514600000002,th,3719296,1710001647ME,35XX Steve,Theft From Motor Vehicle,322,Mt. Moriah,10/03/2017  11:50PM,
35.085197900933,-89.96765851340000,ot,3703700,1709004401ME,28XX Herber,Theft of Vehicle Parts/Accessories,725,Airways,09/09/2017   3:28AM,
35.085238060000,-89.97424974000000,ot,3729796,1710010961ME,21XX Labelle St,Intimidation/Dv,725,Airways,10/21/2017   1:29AM,1
35.085238060000,-89.94704570000000,va,3740901,1711004504ME,34XX Steve Rd,Vandalism/Misdemeanor,322,Mt. Moriah,11/09/2017   3:38AM,
35.085267607939,-89.97545579970000,th,3723477,1710005269ME,26XX Kenner,Theft From Motor Vehicle,725,Airways,10/10/2017   3:13PM,
35.085328290000,-89.95213758000000,bu,3708073,1709008312ME,16XX Prescott,Burglary/Residential,726,Airways,09/16/2017   3:29AM,1
35.085372219837,-89.95003361520000,va,3717861,1710000313ME,33XX Steve Rd,Vandalism/Misdemeanor,322,Mt. Moriah,10/01/2017   8:11PM,
